"No.","Time","Source","Destination","Protocol","Length","Info","OpGroup","OpCode","Bytes","Event Code","Sub Event","Command Opcode","EvBytes","CID","Command Code","DLCI","Frame type","MCC Command Type","Transaction","C/R","Ctype","Opcode","PDU ID","Operation ID","Transaction","Message Type","Signal","ACP SEID","INT SEID","Expected data speed","Opcode","Handle","Value"
"1","2024-12-12 15:49:45.811300","host","controller","HCI_CMD","4","Sent Reset","Host Controller & Baseband Commands","Reset","03:0c","","","","03","","","","","","","","","","","","","","","","","","","",""
"2","2024-12-12 15:49:45.822609","controller","host","HCI_EVT","7","Rcvd Command Complete (Reset)","","","0e:04","Command Complete","","Reset","0e","","","","","","","","","","","","","","","","","","","",""
"3","2024-12-12 15:49:45.825039","host","controller","HCI_CMD","12","Sent Set Event Mask","Host Controller & Baseband Commands","Set Event Mask","01:0c","","","","01","ff:ff","","","","","","","","","","","","","","","","","","",""
"4","2024-12-12 15:49:45.827600","controller","host","HCI_EVT","7","Rcvd Command Complete (Set Event Mask)","","","0e:04","Command Complete","","Set Event Mask","0e","","","","","","","","","","","","","","","","","","","",""
"5","2024-12-12 15:49:45.827819","host","controller","HCI_CMD","6","Sent Write LE Host Supported","Host Controller & Baseband Commands","Write LE Host Supported","6d:0c","","","","6d","","","","","","","","","","","","","","","","","","","",""
"6","2024-12-12 15:49:45.830215","controller","host","HCI_EVT","7","Rcvd Command Complete (Write LE Host Supported)","","","0e:04","Command Complete","","Write LE Host Supported","0e","","","","","","","","","","","","","","","","","","","",""
"7","2024-12-12 15:49:45.830382","host","controller","HCI_CMD","4","Sent Read Local Name","Host Controller & Baseband Commands","Read Local Name","14:0c","","","","14","","","","","","","","","","","","","","","","","","","",""
"8","2024-12-12 15:49:45.832473","controller","host","HCI_EVT","255","Rcvd Command Complete (Read Local Name)","","","0e:fc","Command Complete","","Read Local Name","0e","53:50","","","","","","","","","","","","","","","","","","",""
"9","2024-12-12 15:49:45.832626","host","controller","HCI_CMD","4","Sent Read Local Version Information","Informational Parameters","Read Local Version Information","01:10","","","","01","","","","","","","","","","","","","","","","","","","",""
"10","2024-12-12 15:49:45.834926","controller","host","HCI_EVT","15","Rcvd Command Complete (Read Local Version Information)","","","0e:0c","Command Complete","","Read Local Version Information","0e","09:ff","","","","","","","","","","","","","","","","","","",""
"11","2024-12-12 15:49:45.835086","host","controller","HCI_CMD","4","Sent Read Local Supported Commands","Informational Parameters","Read Local Supported Commands","02:10","","","","02","","","","","","","","","","","","","","","","","","","",""
"12","2024-12-12 15:49:45.837520","controller","host","HCI_EVT","71","Rcvd Command Complete (Read Local Supported Commands)","","","0e:44","Command Complete","","Read Local Supported Commands","0e","ff:ff","","","","","","","","","","","","","","","","","","",""
"13","2024-12-12 15:49:45.837690","host","controller","HCI_CMD","4","Sent LE Read Local Supported Features","LE Controller Commands","LE Read Local Supported Features","03:20","","","","03","","","","","","","","","","","","","","","","","","","",""
"14","2024-12-12 15:49:45.840022","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Read Local Supported Features)","","","0e:0c","Command Complete","","LE Read Local Supported Features","0e","ff:ff","","","","","","","","","","","","","","","","","","",""
"15","2024-12-12 15:49:45.840173","host","controller","HCI_CMD","4","Sent LE Read Supported States","LE Controller Commands","LE Read Supported States","1c:20","","","","1c","","","","","","","","","","","","","","","","","","","",""
"16","2024-12-12 15:49:45.842570","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Read Supported States)","","","0e:0c","Command Complete","","LE Read Supported States","0e","ff:ff","","","","","","","","","","","","","","","","","","",""
"17","2024-12-12 15:49:45.842944","host","controller","HCI_CMD","5","Sent Read Local Extended Features","Informational Parameters","Read Local Extended Features","04:10","","","","04","","","","","","","","","","","","","","","","","","","",""
"18","2024-12-12 15:49:45.844984","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)","","","0e:0e","Command Complete","","Read Local Extended Features","0e","00:02","","","","","","","","","","","","","","","","","","",""
"19","2024-12-12 15:49:45.845210","host","controller","HCI_CMD","5","Sent Read Local Extended Features","Informational Parameters","Read Local Extended Features","04:10","","","","04","","","","","","","","","","","","","","","","","","","",""
"20","2024-12-12 15:49:45.847467","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)","","","0e:0e","Command Complete","","Read Local Extended Features","0e","01:02","","","","","","","","","","","","","","","","","","",""
"21","2024-12-12 15:49:45.847739","host","controller","HCI_CMD","5","Sent Read Local Extended Features","Informational Parameters","Read Local Extended Features","04:10","","","","04","","","","","","","","","","","","","","","","","","","",""
"22","2024-12-12 15:49:45.849939","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)","","","0e:0e","Command Complete","","Read Local Extended Features","0e","02:02","","","","","","","","","","","","","","","","","","",""
"23","2024-12-12 15:49:45.850394","host","controller","HCI_CMD","12","Sent LE Set Event Mask","LE Controller Commands","LE Set Event Mask","01:20","","","","01","00:00","","","","","","","","","","","","","","","","","","",""
"24","2024-12-12 15:49:45.852475","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Event Mask)","","","0e:04","Command Complete","","LE Set Event Mask","0e","","","","","","","","","","","","","","","","","","","",""
"25","2024-12-12 15:49:45.852638","host","controller","HCI_CMD","4","Sent Read Buffer Size","Informational Parameters","Read Buffer Size","05:10","","","","05","","","","","","","","","","","","","","","","","","","",""
"26","2024-12-12 15:49:45.855002","controller","host","HCI_EVT","14","Rcvd Command Complete (Read Buffer Size)","","","0e:0b","Command Complete","","Read Buffer Size","0e","fd:03","","","","","","","","","","","","","","","","","","",""
"27","2024-12-12 15:49:45.855164","host","controller","HCI_CMD","4","Sent LE Read Buffer Size [v1]","LE Controller Commands","LE Read Buffer Size [v1]","02:20","","","","02","","","","","","","","","","","","","","","","","","","",""
"28","2024-12-12 15:49:45.857436","controller","host","HCI_EVT","10","Rcvd Command Complete (LE Read Buffer Size [v1])","","","0e:07","Command Complete","","LE Read Buffer Size [v1]","0e","10:01","","","","","","","","","","","","","","","","","","",""
"29","2024-12-12 15:49:45.857596","host","controller","HCI_CMD","4","Sent LE Read Filter Accept List Size","LE Controller Commands","LE Read Filter Accept List Size","0f:20","","","","0f","","","","","","","","","","","","","","","","","","","",""
"30","2024-12-12 15:49:45.860191","controller","host","HCI_EVT","8","Rcvd Command Complete (LE Read Filter Accept List Size)","","","0e:05","Command Complete","","LE Read Filter Accept List Size","0e","","","","","","","","","","","","","","","","","","","",""
"31","2024-12-12 15:49:45.860359","host","controller","HCI_CMD","4","Sent LE Read Resolving List Size","LE Controller Commands","LE Read Resolving List Size","2a:20","","","","2a","","","","","","","","","","","","","","","","","","","",""
