"No.","Time","Source","Destination","Protocol","Length","Info","OpCode","OpGroup","Bytes"
"1","2024-12-20 19:26:33.296767","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"2","2024-12-20 19:26:33.305125","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"3","2024-12-20 19:26:33.305519","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Advertising Report)","","","3e:0c"
"4","2024-12-20 19:26:33.360798","controller","host","HCI_EVT","46","Rcvd LE Meta (LE Advertising Report)","","","3e:2b"
"5","2024-12-20 19:26:33.517866","controller","host","HCI_EVT","46","Rcvd LE Meta (LE Advertising Report)","","","3e:2b"
"6","2024-12-20 19:26:33.568110","controller","host","HCI_EVT","23","Rcvd LE Meta (LE Advertising Report)","","","3e:14"
"7","2024-12-20 19:26:33.603654","controller","host","HCI_EVT","23","Rcvd LE Meta (LE Advertising Report)","","","3e:14"
"8","2024-12-20 19:26:33.653505","controller","host","HCI_EVT","46","Rcvd LE Meta (LE Advertising Report)","","","3e:2b"
"9","2024-12-20 19:26:33.799563","controller","host","HCI_EVT","46","Rcvd LE Meta (LE Advertising Report)","","","3e:2b"
"10","2024-12-20 19:26:33.842275","controller","host","HCI_EVT","46","Rcvd LE Meta (LE Advertising Report)","","","3e:2b"
"11","2024-12-20 19:26:33.922072","controller","host","HCI_EVT","23","Rcvd LE Meta (LE Advertising Report)","","","3e:14"
"12","2024-12-20 19:26:34.026977","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"13","2024-12-20 19:26:34.210843","controller","host","HCI_EVT","46","Rcvd LE Meta (LE Advertising Report)","","","3e:2b"
"14","2024-12-20 19:26:34.948327","controller","host","HCI_EVT","23","Rcvd LE Meta (LE Advertising Report)","","","3e:14"
"15","2024-12-20 19:26:34.987763","controller","host","HCI_EVT","46","Rcvd LE Meta (LE Advertising Report)","","","3e:2b"
"16","2024-12-20 19:26:34.997164","controller","host","HCI_EVT","23","Rcvd LE Meta (LE Advertising Report)","","","3e:14"
"17","2024-12-20 19:26:35.511517","controller","host","HCI_EVT","46","Rcvd LE Meta (LE Advertising Report)","","","3e:2b"
"18","2024-12-20 19:26:35.605189","controller","host","HCI_EVT","23","Rcvd LE Meta (LE Advertising Report)","","","3e:14"
"19","2024-12-20 19:26:35.659531","controller","host","HCI_EVT","23","Rcvd LE Meta (LE Advertising Report)","","","3e:14"
"20","2024-12-20 19:26:35.929395","controller","host","HCI_EVT","23","Rcvd LE Meta (LE Advertising Report)","","","3e:14"
