"No.","Time","Source","Destination","Protocol","Length","Info","OpGroup","OpCode","Bytes","Event Code","Command Opcode","Sub Event","EvBytes","CID","Command Code","DLCI","Frame type","MCC Command Type","Transaction","C/R","Ctype","Opcode","PDU ID","Operation ID","Transaction","Message Type","Signal","ACP SEID","INT SEID","Expected data speed","Opcode","Handle","Value"
"2","2025-01-05 04:09:58.512268","controller","host","HCI_EVT","7","Rcvd Command Complete (Reset)","","","0e:04","Command Complete","Reset","","0e","","","","","","","","","","","","","","","","","","","",""
"4","2025-01-05 04:09:58.514778","controller","host","HCI_EVT","7","Rcvd Command Complete (Set Event Mask)","","","0e:04","Command Complete","Set Event Mask","","0e","","","","","","","","","","","","","","","","","","","",""
"6","2025-01-05 04:09:58.517301","controller","host","HCI_EVT","7","Rcvd Command Complete (Write LE Host Supported)","","","0e:04","Command Complete","Write LE Host Supported","","0e","","","","","","","","","","","","","","","","","","","",""
"8","2025-01-05 04:09:58.519802","controller","host","HCI_EVT","255","Rcvd Command Complete (Read Local Name)","","","0e:fc","Command Complete","Read Local Name","","0e","53:50","","","","","","","","","","","","","","","","","","",""
"10","2025-01-05 04:09:58.522279","controller","host","HCI_EVT","15","Rcvd Command Complete (Read Local Version Information)","","","0e:0c","Command Complete","Read Local Version Information","","0e","09:ff","","","","","","","","","","","","","","","","","","",""
"12","2025-01-05 04:09:58.524756","controller","host","HCI_EVT","71","Rcvd Command Complete (Read Local Supported Commands)","","","0e:44","Command Complete","Read Local Supported Commands","","0e","ff:ff","","","","","","","","","","","","","","","","","","",""
"14","2025-01-05 04:09:58.527244","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Read Local Supported Features)","","","0e:0c","Command Complete","LE Read Local Supported Features","","0e","ff:ff","","","","","","","","","","","","","","","","","","",""
"16","2025-01-05 04:09:58.529835","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Read Supported States)","","","0e:0c","Command Complete","LE Read Supported States","","0e","ff:ff","","","","","","","","","","","","","","","","","","",""
"18","2025-01-05 04:09:58.534960","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)","","","0e:0e","Command Complete","Read Local Extended Features","","0e","00:02","","","","","","","","","","","","","","","","","","",""
"20","2025-01-05 04:09:58.537999","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)","","","0e:0e","Command Complete","Read Local Extended Features","","0e","01:02","","","","","","","","","","","","","","","","","","",""
"22","2025-01-05 04:09:58.541633","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)","","","0e:0e","Command Complete","Read Local Extended Features","","0e","02:02","","","","","","","","","","","","","","","","","","",""
"24","2025-01-05 04:09:58.544792","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Event Mask)","","","0e:04","Command Complete","LE Set Event Mask","","0e","","","","","","","","","","","","","","","","","","","",""
"26","2025-01-05 04:09:58.547246","controller","host","HCI_EVT","14","Rcvd Command Complete (Read Buffer Size)","","","0e:0b","Command Complete","Read Buffer Size","","0e","fd:03","","","","","","","","","","","","","","","","","","",""
"28","2025-01-05 04:09:58.549692","controller","host","HCI_EVT","10","Rcvd Command Complete (LE Read Buffer Size [v1])","","","0e:07","Command Complete","LE Read Buffer Size [v1]","","0e","10:01","","","","","","","","","","","","","","","","","","",""
"30","2025-01-05 04:09:58.552210","controller","host","HCI_EVT","8","Rcvd Command Complete (LE Read Filter Accept List Size)","","","0e:05","Command Complete","LE Read Filter Accept List Size","","0e","","","","","","","","","","","","","","","","","","","",""
"32","2025-01-05 04:09:58.554753","controller","host","HCI_EVT","8","Rcvd Command Complete (LE Read Resolving List Size)","","","0e:05","Command Complete","LE Read Resolving List Size","","0e","","","","","","","","","","","","","","","","","","","",""
