"No.","Time","Source","Destination","Protocol","Length","Info","OpGroup","OpCode","Bytes","Event Code","Sub Event","Command Opcode","EvBytes","CID","Command Code","DLCI","Frame type","MCC Command Type","Transaction","C/R","Ctype","Opcode","PDU ID","Operation ID","Transaction","Message Type","Signal","ACP SEID","INT SEID","Expected data speed","Opcode","Handle","Value"
"1","2025-01-08 19:55:20.880303","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","","13:05","Number of Completed Packets","","","13","","","","","","","","","","","","","","","","","","","",""
"2","2025-01-08 19:55:20.893619","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","","13:05","Number of Completed Packets","","","13","","","","","","","","","","","","","","","","","","","",""
"3","2025-01-08 19:55:20.902225","localhost ()","remote ()","L2CAP","578","Sent Connection oriented channel","","","32:20","","","","32","41:00","","","","","","","","","","","","","","","","","","",""
"4","2025-01-08 19:55:20.920334","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","","13:05","Number of Completed Packets","","","13","","","","","","","","","","","","","","","","","","","",""
"5","2025-01-08 19:55:20.925266","localhost ()","remote ()","L2CAP","612","Sent Connection oriented channel","","","32:20","","","","32","41:00","","","","","","","","","","","","","","","","","","",""
"6","2025-01-08 19:55:20.941422","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","","13:05","Number of Completed Packets","","","13","","","","","","","","","","","","","","","","","","","",""
"7","2025-01-08 19:55:20.948193","localhost ()","remote ()","L2CAP","506","Sent Connection oriented channel","","","32:20","","","","32","41:00","","","","","","","","","","","","","","","","","","",""
"8","2025-01-08 19:55:20.962798","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","","13:05","Number of Completed Packets","","","13","","","","","","","","","","","","","","","","","","","",""
"9","2025-01-08 19:55:20.993547","localhost ()","remote ()","L2CAP","458","Sent Connection oriented channel","","","32:20","","","","32","41:00","","","","","","","","","","","","","","","","","","",""
"10","2025-01-08 19:55:21.001453","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","","13:05","Number of Completed Packets","","","13","","","","","","","","","","","","","","","","","","","",""
"11","2025-01-08 19:55:21.016598","localhost ()","remote ()","L2CAP","454","Sent Connection oriented channel","","","32:20","","","","32","41:00","","","","","","","","","","","","","","","","","","",""
"12","2025-01-08 19:55:21.039848","localhost ()","remote ()","L2CAP","461","Sent Connection oriented channel","","","32:20","","","","32","41:00","","","","","","","","","","","","","","","","","","",""
"13","2025-01-08 19:55:21.040537","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","","13:05","Number of Completed Packets","","","13","","","","","","","","","","","","","","","","","","","",""
"14","2025-01-08 19:55:21.046758","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","","13:05","Number of Completed Packets","","","13","","","","","","","","","","","","","","","","","","","",""
"15","2025-01-08 19:55:21.063973","localhost ()","remote ()","L2CAP","456","Sent Connection oriented channel","","","32:20","","","","32","41:00","","","","","","","","","","","","","","","","","","",""
"16","2025-01-08 19:55:21.081452","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","","13:05","Number of Completed Packets","","","13","","","","","","","","","","","","","","","","","","","",""
"17","2025-01-08 19:55:21.086194","localhost ()","remote ()","L2CAP","660","Sent Connection oriented channel","","","32:20","","","","32","41:00","","","","","","","","","","","","","","","","","","",""
"18","2025-01-08 19:55:21.101693","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","","13:05","Number of Completed Packets","","","13","","","","","","","","","","","","","","","","","","","",""
"19","2025-01-08 19:55:21.109280","localhost ()","remote ()","L2CAP","485","Sent Connection oriented channel","","","32:20","","","","32","41:00","","","","","","","","","","","","","","","","","","",""
"20","2025-01-08 19:55:21.128911","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","","13:05","Number of Completed Packets","","","13","","","","","","","","","","","","","","","","","","","",""
"21","2025-01-08 19:55:21.132767","localhost ()","remote ()","L2CAP","673","Sent Connection oriented channel","","","32:20","","","","32","41:00","","","","","","","","","","","","","","","","","","",""
"22","2025-01-08 19:55:21.140247","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","","13:05","Number of Completed Packets","","","13","","","","","","","","","","","","","","","","","","","",""
"23","2025-01-08 19:55:21.155277","localhost ()","remote ()","L2CAP","635","Sent Connection oriented channel","","","32:20","","","","32","41:00","","","","","","","","","","","","","","","","","","",""
"24","2025-01-08 19:55:21.166595","controller","host","HCI_EVT","44","Rcvd LE Meta (LE Advertising Report)","","","3e:29","LE Meta","LE Advertising Report","","3e","ca:53","","","","","","","","","","","","","","","","","","",""
"25","2025-01-08 19:55:21.167955","controller","host","HCI_EVT","44","Rcvd LE Meta (LE Advertising Report)","","","3e:29","LE Meta","LE Advertising Report","","3e","ca:53","","","","","","","","","","","","","","","","","","",""
"26","2025-01-08 19:55:21.168373","controller","host","HCI_EVT","33","Rcvd LE Meta (LE Advertising Report)","","","3e:1e","LE Meta","LE Advertising Report","","3e","ca:53","","","","","","","","","","","","","","","","","","",""
"27","2025-01-08 19:55:21.178314","localhost ()","remote ()","L2CAP","366","Sent Connection oriented channel","","","32:20","","","","32","41:00","","","","","","","","","","","","","","","","","","",""
"28","2025-01-08 19:55:21.181471","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","","13:05","Number of Completed Packets","","","13","","","","","","","","","","","","","","","","","","","",""
"29","2025-01-08 19:55:21.191490","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","","13:05","Number of Completed Packets","","","13","","","","","","","","","","","","","","","","","","","",""
"30","2025-01-08 19:55:21.201017","localhost ()","remote ()","L2CAP","264","Sent Connection oriented channel","","","32:20","","","","32","41:00","","","","","","","","","","","","","","","","","","",""
"31","2025-01-08 19:55:21.220237","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","","13:05","Number of Completed Packets","","","13","","","","","","","","","","","","","","","","","","","",""
"32","2025-01-08 19:55:21.223596","localhost ()","remote ()","L2CAP","314","Sent Connection oriented channel","","","32:20","","","","32","41:00","","","","","","","","","","","","","","","","","","",""
"33","2025-01-08 19:55:21.240240","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","","13:05","Number of Completed Packets","","","13","","","","","","","","","","","","","","","","","","","",""
"34","2025-01-08 19:55:21.246557","localhost ()","remote ()","L2CAP","422","Sent Connection oriented channel","","","32:20","","","","32","41:00","","","","","","","","","","","","","","","","","","",""
"35","2025-01-08 19:55:21.261453","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","","13:05","Number of Completed Packets","","","13","","","","","","","","","","","","","","","","","","","",""
"36","2025-01-08 19:55:21.269982","localhost ()","remote ()","L2CAP","398","Sent Connection oriented channel","","","32:20","","","","32","41:00","","","","","","","","","","","","","","","","","","",""
"37","2025-01-08 19:55:21.281539","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","","13:05","Number of Completed Packets","","","13","","","","","","","","","","","","","","","","","","","",""
"38","2025-01-08 19:55:21.292838","localhost ()","remote ()","L2CAP","418","Sent Connection oriented channel","","","32:20","","","","32","41:00","","","","","","","","","","","","","","","","","","",""
"39","2025-01-08 19:55:21.300283","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","","13:05","Number of Completed Packets","","","13","","","","","","","","","","","","","","","","","","","",""
"40","2025-01-08 19:55:21.315966","localhost ()","remote ()","L2CAP","384","Sent Connection oriented channel","","","32:20","","","","32","41:00","","","","","","","","","","","","","","","","","","",""
"41","2025-01-08 19:55:21.339939","localhost ()","remote ()","L2CAP","645","Sent Connection oriented channel","","","32:20","","","","32","41:00","","","","","","","","","","","","","","","","","","",""
"42","2025-01-08 19:55:21.341501","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","","13:05","Number of Completed Packets","","","13","","","","","","","","","","","","","","","","","","","",""
"43","2025-01-08 19:55:21.346509","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","","13:05","Number of Completed Packets","","","13","","","","","","","","","","","","","","","","","","","",""
"44","2025-01-08 19:55:21.361729","localhost ()","remote ()","L2CAP","586","Sent Connection oriented channel","","","32:20","","","","32","41:00","","","","","","","","","","","","","","","","","","",""
"45","2025-01-08 19:55:21.385599","localhost ()","remote ()","L2CAP","606","Sent Connection oriented channel","","","32:20","","","","32","41:00","","","","","","","","","","","","","","","","","","",""
"46","2025-01-08 19:55:21.389272","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","","13:05","Number of Completed Packets","","","13","","","","","","","","","","","","","","","","","","","",""
"47","2025-01-08 19:55:21.392813","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","","13:05","Number of Completed Packets","","","13","","","","","","","","","","","","","","","","","","","",""
"48","2025-01-08 19:55:21.408092","localhost ()","remote ()","L2CAP","449","Sent Connection oriented channel","","","32:20","","","","32","41:00","","","","","","","","","","","","","","","","","","",""
"49","2025-01-08 19:55:21.421518","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","","13:05","Number of Completed Packets","","","13","","","","","","","","","","","","","","","","","","","",""
"50","2025-01-08 19:55:21.431116","localhost ()","remote ()","L2CAP","423","Sent Connection oriented channel","","","32:20","","","","32","41:00","","","","","","","","","","","","","","","","","","",""
"51","2025-01-08 19:55:21.441622","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","","13:05","Number of Completed Packets","","","13","","","","","","","","","","","","","","","","","","","",""
"52","2025-01-08 19:55:21.454392","localhost ()","remote ()","L2CAP","371","Sent Connection oriented channel","","","32:20","","","","32","41:00","","","","","","","","","","","","","","","","","","",""
